Tom's here.	Tom er her.
He's an African American.	Han er afroamerikaner.
That didn't come out right.	Det gik ikke i orden.
She has a small black dog.	Hun har en lille sort hund.
My school marks were average.	Mine karakterer i skolen var gennemsnitlige.
You talk too much.	Du taler for meget.
I've lost my key.	Jeg har mistet min nøgle.
I'm a college student.	Jeg er en universitetsstuderende.
We only have three options.	Vi har kun tre muligheder.
Tom ordered drinks for Mary and himself.	Tom bestilte drinks til Mary og sig selv.
He wrote me a letter.	Han har skrevet et brev til mig.
Tom was already drinking his third beer before Mary had even finished her first.	Tom var allerede ved at drikke sin tredje øl, endnu førend Mary havde drukket sin første.
That's a possibility, isn't it?	Det er en mulighed, er det ikke?
I can't kiss you the way you want to be kissed.	Jeg kan ikke kysse dig på den måde du ønsker at blive kysset.
I don't want to work.	Jeg har ikke lyst til at arbejde.
Don't mention it.	Ingen årsag!
You look really hot.	Du ser virkelig sexet ud.
Could it be a virus?	Kunne det være et virus?
Tom gave blood.	Tom gav blod.
Tom is seeking a job.	Tom søger arbejde.
That's not my wife.	Det er ikke min hustru.
She hasn't done her homework yet.	Hun har endnu ikke lavet sine lektier.
I'm living in Boston.	Jeg bor i Boston.
Tom was tired.	Tom var træt.
I'm not drunk.	Jeg er ikke fuld.
Does Tom go to Australia often?	Tager Tom tit til Australien?
Why are you laughing?	Hvorfor ler du?
Come as soon as you can.	Kom så snart du kan.
Do you know what the speed limit is?	Ved du hvad hastighedsgrænsen er?
How high is Mont Blanc?	Hvor højt er Mont Blanc?
To err is human.	Det er menneskeligt at fejle.
You're looking good!	Du ser godt ud!
Mary takes ballet classes.	Mary tager ballettimer.
Are you dyslexic?	Er du ordblind?
The cat is under the bed.	Katten er under sengen.
Tom is cutting corners.	Tom springer over hvor gærdet er lavest.
Don't respond.	Lad være at reagere!
I thought I knew everything.	Jeg troede jeg vidste alt.
I'll be back at seven o'clock.	Jeg er tilbage klokken syv.
I did nothing unlawful.	Jeg gjorde ikke noget ulovligt.
The radio was plugged in.	Radioen var tilsluttet.
Are you on Facebook?	Er I på Facebook?
It wasn't me who translated this text.	Det er ikke mig der har oversat den her tekst.
You have nothing to fear.	Du har intet af være bange for.
It's brand new.	Den er helt ny.
She's going to kill me.	Hun vil slå mig ihjel.
Tom got out of bed and put his clothes on.	Tom stod op og klædte sig på.
It's a golden retriever.	Det er en golden retriever.
Tom wore safety glasses.	Tom havde sikkerhedsbriller på.
These dogs are big.	Disse hunde er store.
I missed the last train.	Jeg kom for sent til det sidste tog.
Do you think it'll rain today?	Tror du det vil regne i dag?
I took my shoes off and put them under the bed.	Jeg tog mine sko af og lagde dem under sengen.
I will wait here till he comes.	Jeg vil vente her indtil han kommer.
That coach gave him good advice.	Den træner gav ham gode råd.
Has Tom been there?	Har Tom været der?
He is a doctor and also a novelist.	Han er læge og tillige forfatter.
I'm a little bit hungry.	Jeg er småsulten.
It's only a scratch.	Det er kun en skramme.
I confessed.	Jeg skriftede.
Tom denied that he was the thief.	Tom nægtede at han var tyven.
Tom is probably the oldest person in the office.	Tom er sandsynligvis den ældste person på kontoret.
I knew you were crazy, but I didn't know you were this crazy.	Jeg vidste du var skør, men jeg vidste ikke at du var så skør.
Have you put on sunscreen?	Har du smurt dig ind i solcreme?
I'm a fast swimmer.	Jeg er en hurtig svømmer.
I'll show you my room.	Jeg vil vise dig mit værelse.
Would you mind coming earlier next time?	Kom venligst tidligere næste gang.
I can't sing.	Jeg kan ikke synge.
I have three brothers.	Jeg har tre brødre.
Divide and conquer.	Del og hersk.
I'm writing a song in French.	Jeg skriver en sang på fransk.
Tom reached for the light switch and turned it off.	Tom rakte ud efter kontakten og slukkede lyset.
I was watching TV.	Jeg så fjernsyn.
I can't imagine a day without you.	Jeg kan ikke forestille mig en dag uden dig.
Tom likes to show off.	Tom kan godt lide at gøre sig interessant.
Tom put the bowl into the microwave.	Tom satte skålen i mikroovnen.
He said that he takes a walk every day.	Han sagde at han tager en gåtur hver dag.
The problem is difficult to solve.	Det er vanskeligt at løse dette problem.
Tom missed the last train and had to take a taxi home.	Tom kom for sent til det sidste tog og måtte tage en taxi hjem.
He took the eggs out one by one.	Han tog æggene ud en efter en.
The plane crashed.	Flyet styrtede ned.
I'm broke.	Jeg er bankerot.
I have a black and white dog.	Jeg har en sorthvid hund.
Tom told me he was going to help.	Tom sagde til mig at han havde i sinde at hjælpe.
I wrote a letter in French.	Jeg skrev et brev på fransk.
The dog barked a lot.	Hunden gøede meget.
Birds are singing here and there in the park.	Fugle synger her og der i parken.
I have something I want to tell you.	Jeg har noget jeg vil fortælle dig.
The shoes are worn out.	Skoene er slidte.
She began crying.	Hun begyndte at græde.
Don't touch my sandwich.	Rør ikke min sandwich.
Tom and Mary usually go to school by bicycle.	Tom og Mary cykler sædvanligvis i skole.
I got up and Tom did, too.	Jeg stod op, og Tom gjorde ligeså.
Does Tom drink coffee?	Drikker Tom kaffe?
I just found it.	Jeg har lige fundet den.
Tom is a native French speaker.	Tom taler fransk som sit modersmål.
Cholera is uncommon in Japan.	Kolera er ikke almindelig i Japan.
I think everybody's happy.	Jeg tror alle er glade.
My daughter tells me I'm old-fashioned because I don't use a cellphone.	Min datter siger at jeg er gammeldags fordi jeg ikke bruger mobiltelefon.
Let's keep our beaches clean.	Lad os holde vores strande rene.
He knows how to swim.	Han kan svømme.
A cat has nine lives.	En kat har ni liv.
Wake us up at seven o'clock.	Væk os klokken syv.
I don't have all day.	Jeg har ikke hele dagen.
She's as good a cook as her mother.	Hun er lige så god en kok som sin mor.
I often hear her play the piano.	Jeg hører hende ofte spille klaver.
The car is moving fast.	Bilen kører hurtigt.
Could you please turn your television down?	Kan du venligst skrue ned for fjernsynet?
She likes birdwatching.	Hun kan lide at se på fugle.
How old is he?	Hvor gammel er han?
Tom is watching TV.	Tom ser tv.
We're in trouble.	Vi er i knibe.
I beat him at chess.	Jeg vandt over ham i skak.
I must've left my wallet at home.	Jeg må have efterladt min pung derhjemme.
Tom likes the way Mary makes potato salad.	Tom kan lide kartoffelsalat som Mary laver den.
Tom used a crowbar to pry open the door.	Tom brugte et brækjern til at bryde døren op.
See you again.	Vi ses!
Are you going to kiss me?	Kysser du mig?
His wife is French.	Hans kone er fransk.
I think so.	Jeg tror det.
He went abroad to study English.	Han tog udenlands for at lære engelsk.
The kids are at school.	Børnene er i skole.
I think Tom has been punished enough.	Jeg synes at Tom er blevet straffet nok.
Tom is a soccer player.	Tom er fodboldspiller.
It's natural for you to think so.	Det er naturligt for dig at tænke sådan.
I'm afraid I'm not much of a musician.	Jeg er bange for, at jeg ikke er den store musiker.
Tom has a good head for numbers.	Tom har flair for tal.
Tom ran a hand through his hair.	Tom kørte en hånd igennem sit hår.
I do love Finland, but I can't stand the Finns.	Jeg elsker Finland, men jeg kan ikke holde finnerne ud.
Tom wants to sell his car.	Tom ønsker at sælge sin bil.
Some of these apples are bad.	Nogle af disse æbler er dårlige.
Please meet me in front of the station at 2:30.	Mød mig foran stationen klokken 14:30.
Who ate up the cake?	Hvem har spist kagen?
Please put this into the microwave oven.	Vær så venlig at putte dette ind i mikroovnen.
She lived there for years.	Hun boede der i årevis.
He waited his turn.	Han ventede på sin tur.
Where were you when I really needed your help?	Hvor var I da jeg virkelig havde brug for jeres hjælp?
The weather report said that there will be thunderstorms tomorrow evening.	Ifølge vejrudsigten vil der komme tordenvejr i morgen aften.
Does the bus stop here?	Holder bussen her?
Tom is drunk.	Tom er fuld.
Mary is quite attractive.	Mary er ganske attraktiv.
About how much money do you have?	Cirka hvor mange penge har du?
I had my wallet stolen.	Jeg blev frastjålet min tegnebog.
They showed the scene in slow motion.	De viste scenen i slowmotion.
Tom's hands and feet were tied.	Toms hænder og fødder var bundet.
I found him kind.	Jeg fandt ham venlig.
You have four dogs.	I har fire hunde.
I didn't drink much.	Jeg drak ikke meget.
It's none of your business.	Det kommer ikke dig ved.
That must've cost him a fortune.	Det må have kostet ham en formue.
This method is slow but sure.	Denne metode er langsom, men sikker.
It's very cold.	Det er hundekoldt.
I was lying.	Jeg løj.
He took a shortcut through the forest.	Han skød genvej gennem skoven.
I think the team is capable of more.	Jeg tror ​​at holdet kan mere.
Why didn't you go to the police?	Hvorfor gik du ikke til politiet?
Put it into a paper bag.	Put det i en papirspose.
You need to follow the rules.	Du bliver nødt til at følge reglerne.
We can definitely find a cab to take us to the station.	Vi kan helt sikkert finde en taxa som kan køre os til stationen.
Tom sang to Mary.	Tom sang for Mary.
It is getting colder day by day.	Det bliver koldere dag for dag.
She was approaching thirty when I first met her.	Hun nærmede sig de 30 da jeg mødte hende første gang.
I'm your neighbor.	Jeg er din nabo.
My friends call me Tom.	Mine venner kalder mig Tom.
He died at the age of 70.	Han døde da han var 70 år.
Don't ever forget that.	Glem det aldrig!
I've trained my dog to come when I whistle.	Jeg har trænet min hund til at komme når jeg fløjter.
Why didn't you buy coffee?	Hvorfor har du ikke købt kaffe?
That was my choice.	Det var mit valg.
The door is opening now.	Døren åbnes nu.
What Tom saw changed his life.	Hvad Tom så, ændrede hans liv.
That smells nice.	Det dufter godt.
Tom gave Mary a French dictionary.	Tom gav Mary en franskordbog.
Mary lived in a convent for a few months.	Mary boede et par måneder i et kloster.
Mary looks like her mother.	Mary ligner sin mor.
The sheets are dirty.	Lagnerne er snavsede.
What was the weather yesterday?	Hvordan var vejret i går?
The snow has finally melted.	Sneen er endelig smeltet.
Tom is able to speak French.	Tom er i stand til at tale fransk.
She is eight months pregnant.	Hun har nu været gravid i otte måneder.
Pink is not just for girls.	Rosa er ikke kun for piger.
Call Tom immediately.	Ring straks til Tom.
What a big truck!	Sikken stor lastvogn!
The price is too high.	Prisen er for høj.
I'm doing the dishes.	Jeg vasker op.
Tom threw an empty beer can at Mary.	Tom kastede en tom øldåse efter Mary.
This house is for sale.	Dette hus er til salg.
I'm pregnant.	Jeg er gravid.
I wish we could hear what Tom is saying.	Gid vi kunne høre hvad Tom siger.
Happy birthday, Tom.	Tillykke med fødselsdagen, Tom.
I think you're lying.	Jeg tror du lyver.
I think Tom is very cool.	Jeg synes at Tom er meget sej.
Tom isn't his real name.	Tom er ikke hans rigtige navn.
What don't I understand?	Hvad forstår jeg ikke?
He is good at singing.	Han er god til at synge.
It is getting warmer and warmer.	Det bliver varmere og varmere.
There was no one on the beach.	Der var ingen på stranden.
You're a dreamer, aren't you?	Du er en drømmer, ikke sandt?
There's a drought in California.	Der er tørke i Californien.
I have eaten the apple.	Jeg har spist æblet.
She looked lonely.	Hun så ensom ud.
Do you like ravioli?	Kan du lide ravioli?
Tom asked Mary whether she liked him.	Tom spurgte Mary om hun kunne lide ham.
I think it's a good idea.	Jeg synes det er en god idé.
How many days are there in a leap year?	Hvor mange dage er der i et skudår?
Why do you need a chainsaw?	Hvorfor har du brug for en motorsav?
I want to help you.	Jeg vil hjælpe dig.
Tom always makes the same mistakes.	Tom begår altid de samme fejl.
He's famous around the world.	Han er kendt verden over.
You're playing with fire.	Du leger med ilden.
This box is filled with apples.	Denne kasse er fyldt med æbler.
The cat was lying stretched out at full length in the sunlight streaming through the window.	Katten lå udstrakt i fuld længde i sollyset der skinnede ind gennem vinduet.
It takes time.	Det tager tid.
Thanks to you I've lost my appetite.	Takket være dig har jeg mistet min appetit.
Show me the way to the bus stop.	Vis mig vejen til busstoppestedet.
Life is one big party.	Livet er én stor fest.
Happy New Year!	Godt Nytår!
Is it really such a big deal?	Er det virkelig noget at gøre et stort nummer ud af?
I'll teach you a lesson that you won't forget.	Jeg vil give dig en lektie som du ikke vil glemme.
